prey,Base_diUb,Vec_diUb,diUb1,Enr_diUb,sEnr_diUb,p_Bind_diUb
Aldh1a2,75.1,0.1,0.1,-0.88,-4.2,0.031
Tmem263,79,0.2,0.1,-1.21,-4.34,0.031
Sae1,140.5,0.1,0.1,-0.71,-4.37,0.031
Cnn3,292,0.4,0.1,-1.42,-4.21,0.031
Ogfod1,63.1,0.6,0.1,-2.05,-4.18,0.031
Tmem30b,118.3,0.1,0.1,-0.8,-4.31,0.031
Atp6v1c1,152.2,0.3,0.1,-1.2,-4.04,0.031
Tmem140,52.9,0.2,0.1,-1.21,-4.31,0.031
Gm136,176.4,0.1,0.1,-0.8,-4.39,0.031
Ubd,92.8,0.2,0.1,-1.33,-4.41,0.031
Adcy9,135.5,0.1,0.1,-0.8,-4.34,0.031
Agrn,91.9,0.5,0.1,-1.93,-4.11,0.031
Aldh9a1,177.9,0.8,0.2,-2,-4.18,0.031
Cd99l2,100.9,0.2,0.1,-1.58,-4.42,0.031
Mrps14,223.2,0.1,0.1,-0.71,-4.38,0.031
Frmd4b,147.5,0.1,0.1,-0.88,-4.32,0.031
0610007P14Rik,228.6,0.1,0.1,-0.71,-4.45,0.03
Fbxo36,187.7,0.1,0.1,-0.88,-4.32,0.03
Tceal8,498.2,0.7,0.2,-1.62,-4.11,0.03
Psma8,301.4,0.1,0.1,-0.88,-4.44,0.03
Vti1b,52.7,0.2,0.1,-1.27,-4.35,0.03
Dcaf12,186.5,0.1,0.1,-0.88,-4.43,0.03
Tada1,219.5,0.1,0.1,-0.8,-4.37,0.03
Cs,416.3,12386.8,1182.7,-3.39,-3.92,0.03
Spata16,209.6,0.1,0.1,-0.8,-4.43,0.03
Pacrgl,97.4,0.2,0.1,-1.15,-4.42,0.03
1700057G04Rik,245.8,0.1,0.1,-0.8,-4.46,0.03
Trim24,159.1,0.2,0.1,-1.48,-4.56,0.03
Trp53tg5,110.5,0.1,0.1,-0.8,-4.32,0.03
Grsf1,266.2,0.1,0.1,-0.8,-4.44,0.03
Cfap221,63,0.2,0.1,-1.48,-4.25,0.03
Ppp2r1b,169.8,0.4,0.1,-1.61,-4.12,0.03
Clmp,46.6,0.2,0.1,-1.21,-4.29,0.03
Itpr2,107.2,0.1,0.1,-0.8,-4.29,0.029
Cript,433.9,0.5,0.2,-1.5,-4.15,0.029
Cpq,217.1,0.2,0.1,-1.15,-4.48,0.029
Lamb1,103.9,0.1,0.1,-0.71,-4.29,0.029
Ppp2r3c,313.1,0.1,0.1,-0.88,-4.39,0.029
Sema3a,116.5,0.2,0.1,-1.15,-4.47,0.029
Ociad1,238.6,0.1,0.1,-0.8,-4.4,0.029
Bccip,79.3,0.7,0.1,-2.34,-4.22,0.029
Pea15a,219.5,0.4,0.1,-1.53,-4.27,0.029
42619,90.2,0.2,0.1,-1.21,-4.36,0.029
Mup10,295,0.4,0.1,-1.42,-4.16,0.029
Pter,387.8,0.1,0.1,-0.8,-4.52,0.029
Aptx,253.4,0.1,0.1,-0.8,-4.4,0.029
Rps4x,202,0.4,0.1,-1.53,-4.23,0.029
0610009B22Rik,232.4,0.1,0.1,-0.71,-4.44,0.029
Slc12a1,277,0.8,0.2,-2.14,-4.25,0.029
Prss52,191.8,0.1,0.1,-0.71,-4.39,0.029
Slc39a9,136.1,0.3,0.1,-1.39,-4.19,0.029
Atraid,37.8,0.2,0.1,-1.33,-4.25,0.029
Aadac,217.1,0.1,0.1,-0.71,-4.42,0.029
Dhx15,261,0.5,0.1,-1.89,-4.27,0.029
Cd9,469.5,0.4,0.1,-1.42,-4.37,0.028
Coq10b,196.5,0.4,0.1,-1.42,-4.22,0.028
Nipsnap1,146.7,0.8,0.2,-1.8,-4,0.028
Gstk1,149.4,0.1,0.1,-0.88,-4.35,0.028
Scd2,428.4,0.3,0.1,-1.36,-4.24,0.028
Ptp4a2,587.6,0.9,0.2,-1.92,-4.17,0.028
Ube4a,125.3,0.2,0.1,-1.27,-4.53,0.028
Zfp12,41.9,0.5,0.1,-1.92,-4.11,0.028
Btbd9,78.6,0.2,0.1,-1.53,-4.47,0.028
Ugp2,247.2,0.5,0.1,-1.78,-4.28,0.028
Myo5a,242.5,1,0.3,-1.78,-3.95,0.028
Gbp4,246.2,0.1,0.1,-0.71,-4.33,0.028
Cmpk2,98,0.8,0.1,-2.5,-4.3,0.028
Ube2e3,134.1,286.6,30.2,-3.25,-3.95,0.028
Dmtf1,132.5,0.2,0.1,-1.15,-4.45,0.028
1700025F22Rik,189,0.1,0.1,-0.8,-4.47,0.028
Cebpg,151.1,0.1,0.1,-0.8,-4.3,0.028
Ccdc39,138,1.6,0.3,-2.44,-4.1,0.028
Pdcd4,76.9,0.2,0.1,-1.15,-4.44,0.028
Tmem174,193.1,0.1,0.1,-0.8,-4.44,0.028
Hpcal4,168.7,0.1,0.1,-0.8,-4.37,0.028
Bcl2l11,55,0.2,0.1,-1.15,-4.3,0.028
Pcmt1,188,0.1,0.1,-0.71,-4.38,0.028
Taf13,219.2,0.1,0.1,-0.88,-4.46,0.028
Fto,113.4,0.2,0.1,-1.53,-4.43,0.028
Glo1,280.7,0.4,0.1,-1.46,-4.29,0.028
Tbpl1,235,0.1,0.1,-0.8,-4.43,0.027
Copz1,160,0.2,0.1,-1.15,-4.38,0.027
Akr1a1,89.1,0.3,0.1,-1.63,-4.42,0.027
Pnpt1,28.2,0.2,0.1,-1.48,-4.39,0.027
Ddx4,212.7,0.5,0.1,-1.93,-4.37,0.027
Dld,265.5,233.3,19.2,-3.6,-4.06,0.027
Ifi27l2a,9.7,0.2,0.1,-1.53,-4.26,0.027
Rb1cc1,241.4,0.3,0.1,-1.2,-4.15,0.027
Pde5a,340,1.2,0.2,-2.33,-4.23,0.027
Vdac1,257.9,1403.7,117,-3.58,-4.09,0.027
Mnat1,389.5,0.3,0.1,-1.28,-4.26,0.027
Gm21943,103.9,0.2,0.1,-1.33,-4.37,0.027
Galnt4,83.6,0.3,0.1,-1.75,-4.48,0.027
Rnf141,83.9,0.2,0.1,-1.21,-4.43,0.027
Fam69a,121,0.7,0.1,-2.24,-4.23,0.027
Cog6,183.2,0.1,0.1,-0.71,-4.39,0.027
Hspd1,163.9,0.2,0.1,-1.33,-4.51,0.027
Sh3d19,260.4,1.7,0.3,-2.52,-4.26,0.027
Ift80,103,0.4,0.1,-1.59,-4.13,0.026
Gpr160,192.1,0.1,0.1,-0.88,-4.45,0.026
Tm4sf1,563.1,0.6,0.2,-1.7,-4.28,0.026
Gucd1,151.1,0.2,0.1,-1.21,-4.43,0.026
Plekhf2,96.4,0.2,0.1,-1.33,-4.39,0.026
Rassf4,64.5,0.3,0.1,-1.75,-4.49,0.026
Ms4a4b,79.9,0.2,0.1,-1.21,-4.46,0.026
Gm14525,300.8,0.2,0.1,-1.27,-4.54,0.026
Ppp3ca,609.6,1.9,0.4,-2.32,-4.19,0.026
Mup12,278.5,0.2,0.1,-1.53,-4.64,0.026
Psmc2,384.3,1.5,0.4,-1.98,-4.06,0.026
Cyth3,204.4,0.4,0.1,-1.56,-4.24,0.026
Cask,75.6,0.2,0.1,-1.21,-4.42,0.026
Mnda,49.4,2.4,0.3,-3,-4.07,0.026
Ctss,259.7,0.3,0.1,-1.24,-4.17,0.026
Cdc73,148.4,0.8,0.2,-2.06,-4.15,0.026
1110004F10Rik,169.1,2.2,0.4,-2.34,-4.02,0.026
Kcne3,160.5,0.2,0.1,-1.21,-4.53,0.026
Cndp2,174.5,0.1,0.1,-0.88,-4.43,0.025
Defb45,5.4,0.1,0,-1.1,-5.78,0.025
Mfap1a,92.5,0.3,0.1,-1.75,-4.6,0.025
Hexdc,7.4,0.3,0.1,-1.75,-4.35,0.025
Gm14288,81.3,0.4,0.1,-1.58,-4.1,0.025
Art3,167.3,0.2,0.1,-1.21,-4.47,0.025
Synpr,130.8,1.2,0.2,-2.6,-4.27,0.025
Tbc1d1,164.8,0.2,0.1,-1.15,-4.48,0.025
Rai14,140.4,0.1,0.1,-0.88,-4.43,0.025
Sgip1,90.5,287,25.8,-3.47,-3.94,0.025
Actl9,51.9,1.1,0.2,-2.52,-4.14,0.025
Mrps31,126.1,0.6,0.1,-2.05,-4.28,0.025
Zc3h7a,154.6,0.2,0.1,-1.33,-4.46,0.025
Gykl1,302,0.2,0.1,-1.27,-4.54,0.025
Ablim1,187.5,0.2,0.1,-1.27,-4.56,0.025
Fermt2,149,1.5,0.2,-2.95,-4.41,0.025
Trp53inp2,258.5,0.2,0.1,-1.58,-4.61,0.025
Dnajc12,373.5,0.4,0.1,-1.53,-4.33,0.025
Pigk,81.4,0.2,0.1,-1.53,-4.52,0.025
42434,151.6,0.2,0.1,-1.15,-4.42,0.025
Idh3g,362.6,1.1,0.2,-2.14,-4.22,0.025
Spata1,282.3,22.8,2.7,-3.08,-4.07,0.024
Ces1f,227.1,0.2,0.1,-1.15,-4.55,0.024
Vim,121.1,0.6,0.1,-2.12,-4.33,0.024
Izumo3,191.1,0.3,0.1,-1.87,-4.63,0.024
H6pd,91.3,0.3,0.1,-1.91,-4.55,0.024
Aktip,185.2,0.2,0.1,-1.53,-4.57,0.024
Tex101,218.3,0.3,0.1,-1.79,-4.67,0.024
Arrdc4,69.5,0.8,0.2,-2.06,-4.13,0.024
Tnk1,21.6,0.3,0.1,-1.79,-4.4,0.024
Ipo5,367.4,0.3,0.1,-1.2,-4.32,0.024
Armcx2,79.7,0.3,0.1,-1.67,-4.46,0.024
Chac2,184.6,0.2,0.1,-1.21,-4.55,0.024
Spata3,47.2,0.3,0.1,-1.95,-4.56,0.024
Crebzf,88.2,0.3,0.1,-1.75,-4.42,0.024
Atp8b5,76.3,0.2,0.1,-1.27,-4.49,0.024
AK129341,55.1,0.9,0.1,-2.71,-4.33,0.024
Anxa3,217.7,0.2,0.1,-1.53,-4.62,0.024
Nlrp14,298.9,0.4,0.1,-1.61,-4.4,0.024
Mup19,122.4,0.7,0.1,-2.29,-4.32,0.024
Erh,102.7,0.3,0.1,-1.79,-4.5,0.024
Sh3yl1,185.6,0.8,0.1,-2.42,-4.45,0.024
Wdr82,158,1.2,0.2,-2.61,-4.31,0.024
Synrg,178.9,0.3,0.1,-1.87,-4.61,0.024
BC049635,319.4,0.2,0.1,-1.33,-4.59,0.024
Slc12a6,252.8,0.7,0.1,-2.26,-4.45,0.024
Ctsb,199.5,0.2,0.1,-1.27,-4.6,0.023
Snx25,143,0.2,0.1,-1.53,-4.56,0.023
Eef1g,184.4,0.2,0.1,-1.21,-4.51,0.023
Smarca2,154.4,0.3,0.1,-1.79,-4.51,0.023
Hs6st2,50.6,0.4,0.1,-2.2,-4.61,0.023
Oard1,196,0.2,0.1,-1.53,-4.58,0.023
1700129C05Rik,333.1,0.2,0.1,-1.27,-4.64,0.023
Cfap97,298.2,0.3,0.1,-1.79,-4.72,0.023
Fam209,33.4,0.3,0.1,-1.75,-4.49,0.023
1700010I14Rik,153.2,0.2,0.1,-1.21,-4.53,0.023
Elavl1,110.7,0.3,0.1,-1.79,-4.63,0.023
Lias,172,0.2,0.1,-1.21,-4.56,0.023
Dkk3,260.6,0.2,0.1,-1.58,-4.69,0.023
Ndfip2,213.6,0.9,0.1,-2.61,-4.43,0.023
Epb4.1l2,191.4,0.3,0.1,-1.63,-4.61,0.023
Xbp1,397.6,0.1,0.1,-0.8,-4.61,0.023
Tmem27,809.2,0.7,0.2,-1.65,-4.31,0.023
Taf1b,122.2,0.3,0.1,-1.63,-4.53,0.023
Gad1,142.5,0.3,0.1,-1.75,-4.52,0.023
Uhrf1bp1l,212.5,3002.4,278.3,-3.43,-4.01,0.022
Timm8a1,95.1,1,0.1,-2.79,-4.4,0.022
Dnajb8,54.7,1.9,0.2,-2.95,-4.29,0.022
Cfh,442.4,0.9,0.2,-2.31,-4.34,0.022
Egfl6,24.6,0.4,0.1,-2.29,-4.55,0.022
Psme4,255.1,0.5,0.1,-1.84,-4.46,0.022
Bms1,133.6,0.3,0.1,-1.67,-4.51,0.022
Srsf11,230,1.6,0.3,-2.47,-4.19,0.022
Otud1,51.9,3.8,0.3,-3.47,-4.27,0.022
Xrcc4,224.1,1.4,0.2,-2.56,-4.24,0.022
Tipin,382.8,0.2,0.1,-1.58,-4.7,0.022
Suz12,190.5,0.5,0.1,-2.35,-4.74,0.022
Glyat,834.8,0.9,0.3,-1.72,-4.22,0.022
Clic1,114.3,0.3,0.1,-1.91,-4.58,0.022
Gm2897,41.3,0.4,0.1,-2.01,-4.59,0.022
Hjurp,195.5,0.5,0.1,-1.89,-4.41,0.022
Jmy,183.6,39.7,3.6,-3.44,-4.19,0.022
Nek8,1.6,0.1,0,-1.1,-5.76,0.022
Ppp2r2b,133.3,0.3,0.1,-1.63,-4.66,0.022
Rsl24d1,112.2,0.2,0.1,-1.48,-4.51,0.022
Mtss1,136.6,1,0.1,-2.86,-4.52,0.022
Ezh1,128.8,0.3,0.1,-1.97,-4.76,0.022
Mcfd2,342.7,0.8,0.1,-2.48,-4.48,0.022
Baz1a,136.8,0.2,0.1,-1.58,-4.55,0.022
Psmd10,288,0.2,0.1,-1.53,-4.72,0.022
4921530L21Rik,30.8,0.5,0.1,-2.34,-4.6,0.022
Prepl,160.8,0.3,0.1,-1.91,-4.68,0.022
Krr1,149.8,0.4,0.1,-2.2,-4.75,0.022
Amigo2,61.8,0.3,0.1,-1.83,-4.63,0.021
Nfkbiz,76.8,0.5,0.1,-2.5,-4.64,0.021
Mup3,226.8,0.3,0.1,-1.63,-4.72,0.021
Atp6v1a,459.1,0.3,0.1,-1.63,-4.74,0.021
Atp2b4,131.3,0.3,0.1,-1.75,-4.63,0.021
Agps,244.4,0.6,0.1,-2.09,-4.42,0.021
Dctn5,365.4,0.8,0.2,-2.12,-4.32,0.021
Nova1,55.9,0.4,0.1,-2.08,-4.49,0.021
Nqo2,200.5,0.2,0.1,-1.58,-4.61,0.021
Tspyl1,59.3,0.4,0.1,-2.17,-4.59,0.021
Tm9sf2,437.6,0.3,0.1,-1.83,-4.76,0.021
C3,129.2,0.3,0.1,-1.97,-4.65,0.021
Tnrc6a,171.3,0.4,0.1,-2.11,-4.66,0.021
Dpysl3,128.4,0.4,0.1,-2.18,-4.71,0.021
Cfl2,300.7,0.2,0.1,-1.58,-4.73,0.021
Cnih1,305.2,0.3,0.1,-1.87,-4.68,0.021
Sbk3,1.2,0.1,0,-1.23,-5.77,0.021
Sema4c,0.9,0.1,0,-1.23,-5.8,0.021
Pak2,256.8,0.2,0.1,-1.53,-4.7,0.021
Ddx1,140.2,0.7,0.1,-2.34,-4.41,0.02
Anp32b,105.6,0.3,0.1,-1.79,-4.63,0.02
Rnf146,246.9,0.2,0.1,-1.27,-4.63,0.02
Gpd2,326.7,0.8,0.1,-2.55,-4.55,0.02
Dnajb4,147.2,1090.4,71.6,-3.93,-4.28,0.02
Spon1,222.5,0.4,0.1,-1.49,-4.21,0.02
Klhdc7a,1.6,0.1,0,-1.1,-5.89,0.02
Sp1,190,1.3,0.2,-2.46,-4.26,0.02
1110037F02Rik,39.5,1.3,0.2,-2.8,-4.29,0.02
Gpaa1,2,0.1,0,-1.23,-5.85,0.02
Stx3,129.8,1.2,0.2,-2.66,-4.36,0.02
Ppp2ca,492,0.8,0.1,-2.49,-4.74,0.02
Mmp2,109.7,0.3,0.1,-1.67,-4.65,0.02
Hyal4,0.4,0.1,0,-1.23,-5.85,0.02
Gm4922,18.7,0.1,0,-1.1,-5.92,0.02
4430402I18Rik,243.9,0.2,0.1,-1.48,-4.62,0.02
Atf3,82.7,0.4,0.1,-2.18,-4.59,0.02
C1galt1c1,265.2,0.7,0.1,-2.36,-4.5,0.02
Pla2g4c,0.8,0.1,0,-1.1,-5.84,0.02
Hnrnpa1,192.4,0.3,0.1,-1.63,-4.57,0.02
Dlst,237.2,0.4,0.1,-2.01,-4.73,0.02
Pmp2,6.3,0.1,0,-1.1,-5.87,0.02
Lamp5,26.9,0.1,0,-1.23,-5.99,0.02
Ppef1,15.2,0.1,0,-1.23,-5.92,0.019
Champ1,58.6,0.5,0.1,-2.52,-4.76,0.019
Ctsc,135.7,1,0.1,-2.78,-4.55,0.019
Car15,9.1,0.1,0,-1.23,-5.93,0.019
Chp1,286.1,2,0.3,-2.78,-4.28,0.019
Mup2,509.3,0.3,0.1,-1.97,-4.86,0.019
Scd3,7.4,0.1,0,-1.23,-5.85,0.019
Ctcfl,1.2,0.1,0,-1.1,-5.92,0.019
Mturn,206.8,0.5,0.1,-2.34,-4.83,0.019
Zfp882,12,0.1,0,-1.23,-6.04,0.019
Apip,20.9,0.1,0,-1.1,-5.96,0.019
Neto1,6.4,0.1,0,-1.1,-5.91,0.019
Epdr1,132.8,2.2,0.2,-3.15,-4.46,0.019
Ptprg,112.1,0.6,0.1,-2.76,-4.77,0.019
Cenpa,2.7,0.1,0,-1.23,-5.81,0.019
Spg20,57.3,0.1,0,-1.23,-5.96,0.019
Anxa1,571.8,0.5,0.1,-1.78,-4.51,0.019
Slc13a4,2,0.1,0,-1.1,-5.93,0.019
Tmem9b,164.2,0.2,0.1,-1.53,-4.62,0.019
Gsdmc3,15.1,0.1,0,-1.1,-5.92,0.019
Tmbim7,408,0.7,0.1,-2.31,-4.59,0.019
Pitpnm3,10.1,0.1,0,-1.23,-5.99,0.019
BC004004,224.8,0.3,0.1,-1.63,-4.61,0.019
Zfp619,5.1,0.1,0,-1.1,-5.89,0.019
Prrc2b,266.1,0.2,0.1,-1.53,-4.71,0.019
Clns1a,79.1,1.8,0.2,-3.23,-4.52,0.019
Cdkl3,150.8,0.3,0.1,-1.83,-4.63,0.019
Ptrh2,47,0.1,0,-1.1,-5.97,0.019
Pim3,8.5,0.1,0,-1.23,-5.84,0.019
Mapk14,45.8,1.3,0.1,-3.12,-4.45,0.019
Ube2t,10.6,0.1,0,-1.1,-5.91,0.019
Spink6,11.9,0.1,0,-1.23,-5.91,0.019
Rtf1,89.6,0.5,0.1,-2.55,-4.79,0.019
Decr2,4.9,0.1,0,-1.23,-5.9,0.019
Fhl5,575.5,0.3,0.1,-1.87,-4.88,0.019
Pus7l,1.3,0.1,0,-1.23,-5.88,0.019
Fkbp10,1.2,0.1,0,-1.23,-5.9,0.019
Catsper4,1.6,0.1,0,-1.23,-5.79,0.019
Magea5,2,0.1,0,-1.72,-6,0.019
Rpl35,5.3,0.1,0,-1.23,-5.95,0.019
Sacm1l,280.1,0.3,0.1,-1.67,-4.72,0.019
Cops8,164.6,1.8,0.2,-3.24,-4.51,0.019
Vwa9,15.3,0.1,0,-1.23,-5.81,0.019
Prkcd,12.5,0.1,0,-1.1,-5.85,0.019
Scamp3,17.1,0.1,0,-1.23,-5.95,0.019
Psmd14,292.6,0.6,0.1,-2.03,-4.48,0.019
Als2cr11,199.2,0.5,0.1,-2.42,-4.8,0.019
Ddx11,11,0.1,0,-1.23,-5.92,0.018
Mlf2,9.4,0.1,0,-1.23,-5.96,0.018
Ccdc53,155.6,0.3,0.1,-1.87,-4.65,0.018
Sephs2,152.1,0.3,0.1,-1.79,-4.67,0.018
Cipc,130.3,0.3,0.1,-1.95,-4.77,0.018
Clic4,642.9,0.7,0.1,-2.28,-4.65,0.018
Hsd11b1,242.5,0.3,0.1,-1.97,-4.75,0.018
Nabp1,93.7,0.6,0.1,-2.76,-4.85,0.018
Tbcd,21.4,0.1,0,-1.1,-5.92,0.018
Cldn16,31.6,0.1,0,-1.23,-5.94,0.018
2510003E04Rik,138,0.6,0.1,-2.62,-4.92,0.018
Caps2,22,0.1,0,-1.23,-6.01,0.018
Sox5,33.2,0.1,0,-1.23,-6.01,0.018
Pvalb,12.7,0.1,0,-1.23,-6,0.018
Me3,58.6,0.1,0,-1.23,-6.04,0.018
Spry4,10.2,0.1,0,-1.1,-5.92,0.018
Zc3h6,21.8,0.1,0,-1.1,-5.91,0.018
Mup13,180.6,0.4,0.1,-2.01,-4.78,0.018
Tti1,8.4,0.1,0,-1.23,-5.87,0.018
Chmp5,405.4,0.7,0.1,-2.37,-4.53,0.018
Yaf2,28.2,0.1,0,-1.23,-5.92,0.018
Fxyd4,38,0.1,0,-1.23,-5.87,0.018
Rpl15,321.1,1.3,0.2,-2.79,-4.52,0.018
Socs7,41.2,0.1,0,-1.23,-6.09,0.018
Sec62,386.3,1.2,0.1,-3.05,-4.74,0.018
Pygl,46.2,0.1,0,-1.72,-6.01,0.018
Gm8787,0.8,0.1,0,-1.1,-5.91,0.018
Syvn1,6.4,0.1,0,-1.23,-5.9,0.018
Stox1,13.7,0.1,0,-1.1,-5.78,0.018
Akr1c18,295.4,1,0.1,-2.76,-4.63,0.018
Slc44a2,132.6,0.4,0.1,-2.01,-4.7,0.018
Ramp2,19.3,0.1,0,-1.1,-6.02,0.018
D2Wsu81e,3.4,0.1,0,-1.1,-5.92,0.018
Pdhb,192.5,0.5,0.1,-2.32,-4.84,0.018
Bnc2,2.9,0.1,0,-1.1,-5.94,0.018
Gpr180,22.8,0.1,0,-1.23,-5.89,0.018
Grik1,11.3,0.1,0,-1.23,-5.99,0.018
Hif3a,9.3,0.1,0,-1.23,-5.98,0.018
Rnf168,17.4,0.1,0,-1.1,-5.9,0.018
Gm773,16.6,0.1,0,-1.23,-5.93,0.018
Mrpl11,27.8,0.1,0,-1.23,-5.92,0.018
Mrps24,4.6,0.1,0,-1.1,-5.93,0.018
Il1f6,19.6,0.1,0,-1.23,-5.91,0.018
Gm5416,0.8,0.1,0,-1.23,-5.91,0.018
Tnmd,1.2,0.1,0,-1.1,-5.85,0.018
Casr,4.8,0.1,0,-1.1,-5.88,0.018
Rsl1,8.9,0.1,0,-1.1,-5.96,0.018
Trim59,61.6,0.1,0,-1.23,-5.98,0.018
Csf1r,3.2,0.2,0,-2.15,-6,0.018
Pxylp1,35,0.1,0,-1.23,-6.07,0.018
Setx,549.9,2.1,0.3,-2.64,-4.4,0.018
Gpr37,20,0.1,0,-1.1,-5.96,0.018
Slc35g3,2.8,0.1,0,-1.1,-5.92,0.018
Ttc39a,54.3,0.1,0,-1.23,-6.01,0.018
Arih1,341.7,1,0.1,-2.77,-4.71,0.018
Unc5c,45.7,2.1,0.2,-3.44,-4.5,0.018
Jmjd4,19.1,0.1,0,-1.23,-5.96,0.018
Fam57a,7.2,0.1,0,-1.23,-6.05,0.018
Ccdc158,19.7,0.1,0,-1.1,-5.9,0.018
Ifngr1,17.4,0.1,0,-1.23,-6.02,0.018
Znrf3,33.1,0.1,0,-1.23,-6.07,0.018
Hsd3b6,29.4,0.1,0,-1.23,-6,0.018
Nme8,193.5,0.3,0.1,-1.91,-4.73,0.018
Dmrt2,5,0.1,0,-1.1,-5.8,0.018
Nktr,224.9,0.5,0.1,-2.55,-4.93,0.018
Ndufs2,231.6,0.3,0.1,-1.97,-4.71,0.018
Adam28,16.4,0.1,0,-1.23,-5.88,0.018
Prss58,390.6,0.3,0.1,-1.91,-4.84,0.018
Adk,407.7,0.4,0.1,-2.01,-4.86,0.018
Gm2022,7.6,0.1,0,-1.23,-5.94,0.018
Tbca,22,0.1,0,-1.1,-5.96,0.018
Zfp458,6.5,0.1,0,-1.23,-5.89,0.018
Thg1l,50.2,0.1,0,-1.23,-6.01,0.018
H2-T10,9.6,0.1,0,-1.23,-5.85,0.018
Sult1b1,10.1,0.1,0,-1.1,-5.89,0.018
Ccdc163,33.7,0.1,0,-1.1,-5.92,0.018
Exoc6,43.7,0.1,0,-1.1,-6.02,0.018
Lingo2,8,0.1,0,-1.23,-5.91,0.018
Epha6,23.7,0.1,0,-1.1,-5.99,0.018
Krt19,10.3,0.1,0,-1.1,-5.91,0.018
Ncbp2,161.9,0.4,0.1,-2.15,-4.84,0.018
Emx2,16.2,0.1,0,-1.1,-5.86,0.017
Senp1,45.3,0.1,0,-1.23,-5.93,0.017
Brms1l,49.9,0.1,0,-1.23,-6.08,0.017
Mkrn3,5.9,0.1,0,-1.1,-5.84,0.017
Fam47e,1.9,0.1,0,-1.23,-5.94,0.017
Ankrd10,35.2,0.1,0,-1.23,-6.06,0.017
Tbc1d9b,23.1,0.1,0,-1.23,-6.01,0.017
Kidins220,220.4,0.6,0.1,-2.09,-4.54,0.017
Ndufaf1,29.4,0.1,0,-1.23,-5.96,0.017
Gm6880,0.2,0.1,0,-1.23,-5.88,0.017
Spats2l,17.4,0.1,0,-1.23,-6.05,0.017
Shcbp1,78.6,0.1,0,-1.23,-6.02,0.017
Spata2,44.2,0.1,0,-1.1,-6.02,0.017
Rfxank,4.2,0.1,0,-1.1,-5.98,0.017
Mdfic,50.7,0.1,0,-1.1,-5.98,0.017
Trim36,214.5,1.4,0.2,-2.87,-4.56,0.017
Timm21,243.9,0.4,0.1,-2.2,-4.85,0.017
Mpnd,1.6,0.1,0,-1.23,-5.8,0.017
B9d1,38.3,0.1,0,-1.1,-5.92,0.017
Fcgr3,75.5,0.1,0,-1.1,-5.96,0.017
Cox16,14.6,0.1,0,-1.1,-5.87,0.017
Chchd5,18.4,0.1,0,-1.1,-5.9,0.017
Scn3b,30.5,0.1,0,-1.23,-6.03,0.017
Arhgef28,10.9,0.1,0,-1.23,-5.92,0.017
Psmc3ip,16.5,0.1,0,-1.23,-5.99,0.017
1700102P08Rik,29.8,0.1,0,-1.23,-5.96,0.017
Phka2,20.8,0.1,0,-1.23,-5.95,0.017
Cnbd2,42.6,0.1,0,-1.23,-6.02,0.017
Otud4,348.5,3.1,0.3,-3.39,-4.55,0.017
Adrb1,9.6,0.1,0,-1.23,-5.83,0.017
Eps8l3,5,0.1,0,-1.1,-5.96,0.017
Rab43,5.3,0.1,0,-1.1,-5.91,0.017
Cma1,17.5,0.1,0,-1.23,-6,0.017
Atg7,7.2,0.1,0,-1.1,-5.98,0.017
Cpne6,2.1,0.1,0,-1.23,-5.88,0.017
Lrrc59,256.5,0.5,0.1,-2.57,-4.93,0.017
Zfp560,4,0.1,0,-1.23,-5.85,0.017
Setd8,13,0.1,0,-1.23,-5.95,0.017
Slc25a26,9.6,0.1,0,-1.1,-5.95,0.017
Gcfc2,7.5,0.1,0,-1.23,-6.01,0.017
4933421I07Rik,15.8,0.1,0,-1.1,-5.91,0.017
Srek1ip1,53.5,0.1,0,-1.23,-5.94,0.017
Kansl3,244.4,0.3,0.1,-1.97,-4.77,0.017
Shmt2,6.4,0.1,0,-1.1,-5.85,0.017
Lair1,23.2,0.1,0,-1.23,-5.93,0.017
Nrn1,42.7,0.2,0,-2.15,-6.1,0.017
Bicc1,20.9,0.2,0,-2.21,-6.08,0.017
Akr1d1,15.3,0.1,0,-1.1,-5.93,0.017
Creld2,14.7,0.1,0,-1.23,-5.93,0.017
Rnf148,429.4,0.8,0.1,-2.44,-4.68,0.017
Prss29,32.1,0.1,0,-1.1,-6.03,0.017
Fundc2,281.6,0.5,0.1,-2.37,-4.88,0.017
Zfp113,23.8,0.1,0,-1.1,-5.87,0.017
Irf2bpl,18.4,0.1,0,-1.23,-5.96,0.017
Gm906,21.7,0.1,0,-1.23,-5.95,0.017
Rgs7bp,22.5,0.1,0,-1.23,-5.97,0.017
Slc16a5,14.1,0.1,0,-1.1,-5.97,0.017
Fam20b,99.3,0.1,0,-1.23,-5.96,0.017
Nedd9,124.3,9.1,0.7,-3.7,-4.47,0.017
Lyzl4,16.9,0.1,0,-1.23,-5.95,0.017
Slc35e1,24.2,0.1,0,-1.1,-5.96,0.017
Lrfn5,14.6,0.1,0,-1.1,-5.98,0.017
Hcls1,1.8,0.1,0,-1.1,-5.82,0.017
Pnpla8,412.7,3.6,0.4,-3.17,-4.49,0.017
Prdx4,110.6,0.1,0,-1.1,-5.89,0.017
Pon3,309,1.3,0.2,-2.78,-4.51,0.017
Nr2c2ap,2.9,0.1,0,-1.1,-5.97,0.017
Gm8765,14.9,0.1,0,-1.23,-5.94,0.017
