prey,Base,Vec,Rab5GDP,Rab5GTP,Enr_GDP,Enr_GTP,sEnr_GDP,sEnr_GTP,p_GDP_Vec,p_GTP_Vec,p_GTP_GDP,p_GDP_GTP,p_GDP,p_GTP
Ghrl,7,0.1,0,0,-1.23,-1.23,-2.08,-3.71,0.024,0,0.149,0.851,0.021,0
Gpn1,48.9,0,0.1,0,1.26,0,-1.76,-3.7,0.051,0,0.111,0.889,0.046,0
Ap2a2,80.6,866.6,56.6,0,-3.94,-14.08,-2,-3.9,0.029,0,0.114,0.886,0.026,0
Cbr2,63.7,0.1,0,0,-1.1,-1.1,-2.1,-3.69,0.025,0,0.157,0.843,0.021,0
Tgfbrap1,24.4,0.2,0,0,-2.33,-2.33,-2.11,-3.72,0.024,0,0.16,0.84,0.021,0
Aifm2,38.4,61,0.1,0,-8.99,-10.25,-2.2,-3.92,0.02,0,0.15,0.85,0.017,0
C330027C09Rik,70.5,8.2,0.2,0,-4.99,-7.36,-2.1,-3.83,0.022,0,0.134,0.866,0.019,0
Bbox1,39.9,23.7,0.1,0,-7.63,-8.89,-2.21,-3.85,0.019,0,0.153,0.847,0.017,0
Praf2,24,0.1,0,0,-1.23,-1.23,-2.07,-3.72,0.023,0,0.149,0.851,0.02,0
Pecam1,89.3,178,0.1,0.1,-10.54,-10.47,-2.23,-3.86,0.025,0,0.167,0.833,0.02,0
Srsf6,353.2,24,0.8,1.3,-4.76,-4.18,-2.12,-3.61,0.018,0,0.175,0.825,0.015,0
42435,553.1,36.2,0.3,1.8,-6.51,-4.29,-2.17,-3.6,0.018,0,0.177,0.823,0.015,0
Ankzf1,22.2,6.2,0,0,-6.96,-6.96,-2.23,-3.85,0.019,0,0.165,0.835,0.016,0
Aamp,11,0.6,0,0,-3.64,-3.64,-2.15,-3.79,0.02,0,0.155,0.845,0.017,0
Cdk5r1,36.5,0.7,0,0,-3.99,-3.99,-2.18,-3.8,0.017,0,0.154,0.846,0.014,0
Dctd,18.3,0.1,0,0,-1.88,-1.88,-2.09,-3.74,0.028,0,0.153,0.847,0.023,0
Dynlt1f,30.8,0.9,0,0,-4.18,-4.18,-2.21,-3.82,0.021,0,0.16,0.84,0.018,0
Rbm26,165.7,11.6,0.2,0,-5.49,-7.87,-2.13,-3.88,0.023,0,0.135,0.865,0.02,0
Slc22a1,43.3,0,0.1,0,1.26,0,-1.74,-3.7,0.05,0,0.102,0.898,0.045,0
Zfp654,386.6,32.6,0.5,0.2,-5.92,-6.89,-2.15,-3.81,0.021,0,0.153,0.847,0.018,0
H2-T10,9.6,0.1,0.1,0,0.03,-1.23,-1.75,-3.72,0.044,0,0.103,0.897,0.039,0
Slc22a16,118.9,0,0.3,0.1,3,1.32,-1.7,-3.54,0.046,0,0.104,0.896,0.042,0
2700029M09Rik,66.9,0.1,0,0,-1.72,-1.72,-2.14,-3.73,0.026,0,0.157,0.843,0.022,0
Larp4,66.5,86.9,0.8,0.1,-6.73,-9.44,-2.18,-3.85,0.019,0,0.145,0.855,0.017,0
Rab11fip2,115.1,176,0,0,-11.78,-11.78,-2.22,-3.88,0.02,0,0.15,0.85,0.017,0
Lnx1,15.1,183,0.2,0.5,-9.46,-8.51,-2.22,-3.81,0.023,0,0.167,0.833,0.019,0
Bcl11b,55.7,118,0.5,0,-7.77,-11.2,-2.19,-3.88,0.02,0,0.151,0.849,0.017,0
Bace1,124.1,737.8,0.2,0.1,-11.47,-12.53,-2.21,-3.92,0.025,0,0.162,0.838,0.021,0
Egflam,48.1,35.7,0,0,-9.48,-9.48,-2.22,-3.87,0.021,0,0.158,0.842,0.018,0
Ogn,626,10.9,0.8,0.9,-3.62,-3.52,-2.12,-3.59,0.021,0,0.168,0.832,0.017,0
Bend6,67.6,5.9,0,0,-6.89,-6.89,-2.23,-3.86,0.024,0,0.155,0.845,0.02,0
Rdh14,26.4,0.2,0,0,-2.15,-2.15,-2.14,-3.71,0.023,0,0.163,0.837,0.019,0
Cisd3,6.4,0.1,0,0,-1.23,-1.23,-2.06,-3.7,0.029,0,0.15,0.85,0.024,0
Mat2a,494.5,1.5,1.5,0.9,0.05,-0.69,-1.87,-3.35,0.027,0,0.144,0.856,0.023,0
Smpd1,9.8,0.1,0,0,-1.23,-1.23,-2.11,-3.7,0.023,0,0.159,0.841,0.02,0
Kng1,33.6,5.4,0,0,-6.76,-6.76,-2.2,-3.85,0.021,0,0.153,0.847,0.017,0
1700029F12Rik,76.2,0,0.1,0,1.26,0,-1.72,-3.74,0.046,0,0.099,0.901,0.041,0
Hmga2,78.5,0.1,0.2,0.1,1.15,0.09,-1.77,-3.52,0.042,0,0.117,0.883,0.037,0
Dhx15,269.2,0.5,0.6,0.2,0.13,-1.02,-1.92,-3.49,0.026,0,0.133,0.867,0.022,0
Tmem100,249.7,5.3,0.3,0.5,-3.75,-3.42,-2.13,-3.55,0.019,0,0.172,0.828,0.016,0
Diap2,66.2,50,0.2,0.2,-7.59,-7.96,-2.2,-3.82,0.024,0,0.16,0.84,0.02,0
Pisd,27.3,159.5,0,0,-11.64,-11.64,-2.22,-3.87,0.023,0,0.166,0.834,0.019,0
Hspa8,46.1,12.9,0.1,0,-6.09,-8.02,-2.15,-3.83,0.022,0,0.15,0.85,0.019,0
Uhrf1,5.8,1.1,0.1,0,-3.31,-4.58,-2.07,-3.8,0.023,0,0.141,0.859,0.02,0
Sparc,207,0.3,0.1,0,-0.82,-2.75,-1.94,-3.78,0.025,0,0.114,0.886,0.022,0
Asb3,58.7,0.1,0,0,-1.8,-1.8,-2.15,-3.72,0.019,0,0.164,0.836,0.016,0
Pard6g,21.6,0.1,0,0,-1.1,-1.1,-2.08,-3.72,0.026,0,0.158,0.842,0.022,0
Aif1,225.5,3.3,0.2,0.2,-3.69,-3.61,-2.12,-3.64,0.021,0,0.167,0.833,0.017,0
Oas1g,8.1,0,0.1,0,1.26,0,-1.7,-3.7,0.054,0,0.106,0.894,0.049,0
Trmt11,70.4,0,0.1,0,1.26,0,-1.79,-3.75,0.042,0,0.1,0.9,0.037,0
Pdcd2,13.6,1.3,0,0,-4.8,-4.8,-2.2,-3.78,0.02,0,0.159,0.841,0.017,0
Eif2s3y,153.2,0,0.3,0.2,3,2,-1.81,-3.46,0.039,0,0.129,0.871,0.034,0
Tgfbr2,361.8,0.6,0.6,0.5,0.08,-0.16,-1.89,-3.39,0.032,0,0.144,0.856,0.027,0
Wdr3,95,68.4,0.2,0,-8.04,-10.42,-2.2,-3.92,0.025,0,0.151,0.849,0.021,0
Mif,10.7,0.1,0,0,-1.1,-1.1,-2.1,-3.7,0.024,0,0.151,0.849,0.02,0
Mdga2,46.9,0.1,0,0,-1.1,-1.1,-2.11,-3.76,0.022,0,0.155,0.845,0.018,0
Mterf1a,4.2,0.1,0,0,-1.23,-1.23,-2.11,-3.69,0.021,0,0.152,0.848,0.018,0
Ube2v1,18.9,0.1,0,0,-1.23,-1.23,-2.08,-3.73,0.023,0,0.163,0.837,0.019,0
Ly9,3.8,3,0,0,-5.94,-5.94,-2.17,-3.76,0.02,0,0.169,0.831,0.017,0
Jun,7.7,0.2,0,0,-2.48,-2.48,-2.16,-3.76,0.023,0,0.163,0.837,0.019,0
Trub2,24,0.1,0,0,-1.23,-1.23,-2.11,-3.68,0.021,0,0.16,0.84,0.018,0
Txndc5,80.8,0,0.1,0.1,1.92,1.32,-1.84,-3.47,0.033,0,0.135,0.865,0.028,0
Tln2,66.4,0.1,0.1,0,0.69,-1.23,-1.71,-3.77,0.044,0,0.095,0.905,0.04,0
Cables2,69.9,0.1,0,0,-1.1,-1.1,-2.13,-3.71,0.021,0,0.157,0.843,0.018,0
Mtch2,256.4,0.1,0.3,0.3,1.77,1.58,-1.92,-3.34,0.024,0,0.15,0.85,0.02,0
Gm3435,195.4,150.6,0.2,0.4,-9.18,-8.47,-2.21,-3.82,0.019,0,0.165,0.835,0.016,0
Ist1,206.7,221.6,0.1,0.2,-10.19,-10.11,-2.22,-3.84,0.026,0,0.165,0.835,0.022,0
Huwe1,129.4,0.1,0.1,0.1,-0.45,-0.39,-2.04,-3.51,0.023,0,0.161,0.839,0.019,0
Mum1,4.8,0.1,0,0,-1.23,-1.23,-2.07,-3.67,0.026,0,0.153,0.847,0.022,0
Ccdc39,147,1.6,0.2,0.2,-2.65,-3.03,-2.07,-3.6,0.018,0,0.161,0.839,0.015,0
Farsb,239.5,2301.1,0.1,141.6,-13.57,-4.02,-2.22,-3.51,0.02,0,0.204,0.796,0.016,0
1700074P13Rik,697.1,18,0.6,0.4,-4.73,-5.41,-2.12,-3.73,0.019,0,0.157,0.843,0.016,0
Ccdc125,9.1,16.2,0,0,-8.34,-8.34,-2.22,-3.87,0.017,0,0.161,0.839,0.014,0
Ccdc149,47.4,712.9,0.1,0,-11.88,-13.8,-2.22,-3.87,0.02,0,0.158,0.842,0.017,0
Rpl39l,16.8,55.4,0,0,-10.11,-10.11,-2.21,-3.88,0.021,0,0.159,0.841,0.018,0
Ttc29,147.7,0.3,0.1,0.1,-1.53,-1.47,-2.04,-3.56,0.022,0,0.163,0.837,0.019,0
Arhgap4,6.2,0.7,0,0,-3.99,-3.99,-2.15,-3.78,0.022,0,0.156,0.844,0.018,0
Fam71e2,13.2,55.9,0,0,-10.13,-10.13,-2.23,-3.87,0.02,0,0.161,0.839,0.017,0
Impad1,119.7,320.8,0.3,0,-9.93,-12.65,-2.23,-3.87,0.016,0,0.157,0.843,0.013,0
Art3,186.4,0.2,0.5,0.2,1.22,0.25,-1.78,-3.4,0.034,0,0.129,0.871,0.03,0
Heyl,1.8,0.1,0,0,-1.23,-1.23,-2.04,-3.69,0.024,0,0.147,0.853,0.02,0
Pcnx,68.8,4.8,0.1,0,-5.35,-6.61,-2.18,-3.85,0.021,0,0.148,0.852,0.018,0
Susd3,8.6,0,0.1,0,1.26,0,-1.68,-3.73,0.059,0,0.102,0.898,0.053,0
Ms4a7,79.8,0.1,0.3,0.2,1.9,0.9,-1.73,-3.41,0.04,0,0.122,0.878,0.035,0
Ubl3,57.7,59.1,0.1,0,-8.95,-10.21,-2.22,-3.86,0.017,0,0.158,0.842,0.015,0
Ccdc101,20.3,0.1,0,0,-1.23,-1.23,-2.1,-3.7,0.025,0,0.156,0.844,0.021,0
Pin4,22.8,0.1,0,0,-1.23,-1.23,-2.12,-3.73,0.025,0,0.154,0.846,0.021,0
Thoc7,535.9,2.1,1,1,-1.1,-1.1,-2.02,-3.41,0.019,0,0.165,0.835,0.016,0
Trim34a,25.7,0.1,0,0,-1.1,-1.1,-2.1,-3.7,0.024,0,0.15,0.85,0.021,0
Herc1,38.4,0.1,0,0,-1.23,-1.23,-2.1,-3.75,0.025,0,0.152,0.848,0.021,0
Sdcbp,663.4,2.6,1.4,1,-0.86,-1.35,-1.95,-3.42,0.026,0,0.153,0.847,0.022,0
Ano1,57.7,0.9,0.1,0,-2.26,-4.18,-1.95,-3.8,0.022,0,0.122,0.878,0.019,0
Palld,271.2,121.9,0.2,0.2,-8.87,-9.25,-2.23,-3.86,0.021,0,0.169,0.831,0.018,0
Egf,221,88.6,0.5,0.5,-7.36,-7.26,-2.2,-3.76,0.019,0,0.173,0.827,0.016,0
Dusp6,91.1,3.5,0.2,0.5,-3.78,-2.83,-2.12,-3.49,0.017,0,0.185,0.815,0.014,0
Rnf149,271.1,3.6,0.5,0.5,-2.74,-2.64,-2.07,-3.52,0.018,0,0.163,0.837,0.015,0
Ttc12,11.8,0.1,0,0,-1.1,-1.1,-2.09,-3.71,0.021,0,0.152,0.848,0.018,0
Larp7,84.6,0.4,0,0,-3.01,-3.01,-2.13,-3.76,0.02,0,0.152,0.848,0.017,0
Tor1b,95.3,451.4,0.1,0,-11.88,-13.14,-2.21,-3.86,0.018,0,0.157,0.843,0.015,0
Smcr8,111.1,110.2,0.1,0.2,-9.84,-9.1,-2.25,-3.85,0.02,0,0.163,0.837,0.017,0
Eci1,11.5,0.6,0,0,-3.71,-3.71,-2.13,-3.77,0.021,0,0.15,0.85,0.018,0
Snph,42.6,95.1,0,0,-10.89,-10.89,-2.26,-3.89,0.021,0,0.166,0.834,0.018,0
Mad2l2,21.4,15,0.1,0,-6.97,-8.23,-2.2,-3.87,0.021,0,0.163,0.837,0.017,0
Tmem254a,219,0.2,0,0,-2.15,-2.15,-2.16,-3.76,0.026,0,0.162,0.838,0.022,0
BC049762,65.2,0.1,0,0,-1.72,-1.72,-2.15,-3.73,0.018,0,0.152,0.848,0.015,0
Smcp,18.9,89.3,0,0,-10.8,-10.8,-2.2,-3.85,0.022,0,0.153,0.847,0.018,0
Tfg,63.8,8,0.2,0,-4.96,-7.34,-2.13,-3.84,0.018,0,0.137,0.863,0.016,0
Ankrd7,985.2,11.4,2,2.3,-2.47,-2.27,-2.04,-3.46,0.017,0,0.168,0.832,0.015,0
Tbca,21.5,0.1,0,0,-1.1,-1.1,-2.09,-3.68,0.026,0,0.159,0.841,0.022,0
Tmem242,46.8,0.1,0,0,-1.1,-1.1,-2.1,-3.73,0.022,0,0.154,0.846,0.019,0
2210404O09Rik,2.5,0.1,0,0,-1.23,-1.23,-2.06,-3.67,0.024,0,0.147,0.853,0.021,0
Cars,17.4,0.1,0,0,-1.23,-1.23,-2.06,-3.72,0.026,0,0.152,0.848,0.022,0
Dnajc3,325.5,0.5,0.8,0.2,0.75,-0.94,-1.81,-3.52,0.036,0,0.115,0.885,0.031,0
Igdcc4,45,0.1,0,0,-1.72,-1.72,-2.15,-3.76,0.021,0,0.157,0.843,0.018,0
Kbtbd4,73.4,0.3,0,0,-2.67,-2.67,-2.17,-3.73,0.019,0,0.163,0.837,0.016,0
Grtp1,34.8,42.9,0,0,-9.75,-9.75,-2.19,-3.89,0.021,0,0.147,0.853,0.018,0
Arhgef5,93.6,0.1,0,0,-1.23,-1.23,-2.09,-3.71,0.021,0,0.152,0.848,0.018,0
Tmbim1,70.6,2.8,0,0,-5.83,-5.83,-2.19,-3.78,0.019,0,0.158,0.842,0.016,0
Frmd6,52,220,0.8,0,-8.07,-12.1,-2.21,-3.86,0.023,0,0.164,0.836,0.02,0
Dcaf8,50.2,151.1,0.1,0.2,-9.64,-9.1,-2.22,-3.86,0.021,0,0.162,0.838,0.017,0
Setd5,16.8,0.1,0.1,0,0.69,-1.23,-1.73,-3.72,0.048,0,0.098,0.902,0.044,0
Adam1a,49.5,0.7,0,0,-3.85,-3.85,-2.16,-3.81,0.02,0,0.155,0.845,0.017,0
Cfhr1,28.6,0,0.1,0,1.26,0,-1.73,-3.69,0.05,0,0.105,0.895,0.045,0
Nutm1,9.6,19.5,0,0,-8.61,-8.61,-2.22,-3.83,0.021,0,0.155,0.845,0.018,0
Mroh2b,144.3,2,0.1,0.1,-3.43,-4.03,-2.08,-3.68,0.024,0,0.152,0.848,0.02,0
Ice2,66.9,0.1,0.2,0.1,1.15,0.09,-1.8,-3.54,0.031,0,0.113,0.887,0.027,0
Dpy19l3,13.6,0,0.1,0,1.26,0,-1.73,-3.75,0.049,0,0.099,0.901,0.044,0
Zfp830,30.8,7,0,0,-7.13,-7.13,-2.21,-3.87,0.024,0,0.166,0.834,0.02,0
Man2a2,4.8,0.1,0,0,-1.23,-1.23,-2.08,-3.71,0.022,0,0.15,0.85,0.019,0
Prkd1,36.7,24.7,0.1,0,-7.69,-8.95,-2.2,-3.85,0.02,0,0.155,0.845,0.017,0
Them7,225.8,0,0.1,0.1,1.92,1.32,-1.89,-3.53,0.032,0,0.138,0.862,0.028,0
Lilra5,8.9,21.1,0,0,-8.73,-8.73,-2.26,-3.85,0.018,0,0.169,0.831,0.015,0
Kif3c,42.1,0.1,0,0,-1.23,-1.23,-2.07,-3.67,0.021,0,0.147,0.853,0.018,0
Zbtb18,138.5,76.2,0.1,0.2,-9.31,-8.57,-2.22,-3.83,0.018,0,0.16,0.84,0.015,0
4933436I01Rik,61.7,0.2,0.1,0.1,-0.55,-1.15,-1.9,-3.51,0.027,0,0.134,0.866,0.024,0
Mllt3,63.7,0.1,0.1,0.1,0.69,0.09,-1.88,-3.49,0.03,0,0.139,0.861,0.026,0
Tsen15,34.3,0.1,0,0,-1.23,-1.23,-2.09,-3.68,0.023,0,0.15,0.85,0.02,0
Agr2,43.6,0.1,0,0,-1.23,-1.23,-2.07,-3.67,0.024,0,0.151,0.849,0.02,0
Fxyd4,34.8,0.1,0.1,0,0.03,-1.23,-1.81,-3.72,0.038,0,0.108,0.892,0.034,0
Cdr2,118.3,0.1,0,0,-1.23,-1.23,-2.12,-3.74,0.023,0,0.157,0.843,0.02,0
Zfp800,59.5,103.3,0.1,0.1,-9.75,-9.69,-2.2,-3.84,0.023,0,0.163,0.837,0.019,0
Cntn4,24.3,400.7,0,0,-12.97,-12.97,-2.22,-3.86,0.022,0,0.16,0.84,0.019,0
Bach2,34.1,0.1,0.1,0,0.03,-1.23,-1.82,-3.74,0.038,0,0.111,0.889,0.034,0
Atrn,130.2,148.2,0.1,0,-10.27,-11.53,-2.22,-3.85,0.017,0,0.161,0.839,0.014,0
Eif4a2,459.6,510.8,0.6,0.3,-9.56,-10.51,-2.24,-3.86,0.018,0,0.155,0.845,0.015,0
Rtf1,83.5,0.5,0,0.1,-3.56,-2.23,-2.2,-3.56,0.017,0,0.193,0.807,0.014,0
Sox5,22.9,0.1,0,0,-1.23,-1.23,-2.1,-3.72,0.026,0,0.156,0.844,0.022,0
Sema3c,249.1,219.6,0.2,0.2,-9.72,-10.1,-2.24,-3.84,0.022,0,0.161,0.839,0.019,0
Pawr,43.6,4,0,0,-6.33,-6.33,-2.18,-3.84,0.023,0,0.159,0.841,0.019,0
Trim42,5.1,0.1,0,0,-1.1,-1.1,-2.06,-3.71,0.026,0,0.153,0.847,0.022,0
Ncapg2,47.5,20.2,0,0.1,-8.66,-7.34,-2.27,-3.84,0.014,0,0.163,0.837,0.012,0
Mapk1,532.1,39,1.5,0.5,-4.68,-6.28,-2.1,-3.74,0.022,0,0.143,0.857,0.019,0
Zfp354c,33,1.4,0,0,-4.87,-4.87,-2.19,-3.79,0.018,0,0.156,0.844,0.016,0
Tfcp2l1,174.2,22.9,0.1,0.6,-6.92,-5.14,-2.18,-3.66,0.022,0,0.17,0.83,0.018,0
Fam129b,4.1,0.1,0,0,-1.1,-1.1,-2.12,-3.73,0.019,0,0.153,0.847,0.016,0
Gcfc2,6.4,0.1,0,0,-1.23,-1.23,-2.04,-3.7,0.023,0,0.143,0.857,0.02,0
Dzank1,191.9,1.8,0.2,0,-2.82,-5.19,-1.98,-3.85,0.023,0,0.11,0.89,0.02,0
Msl3l2,45.8,0.1,0,0,-1.23,-1.23,-2.12,-3.7,0.026,0,0.157,0.843,0.022,0
Chdh,110.5,14.6,0.3,0,-5.19,-8.19,-2.09,-3.87,0.018,0,0.125,0.875,0.016,0
1110004F10Rik,191,2.2,0.6,0.5,-1.75,-2.19,-2,-3.5,0.021,0,0.155,0.845,0.018,0
Acsl1,128.5,0.2,0.1,0.1,-0.61,-1.21,-1.97,-3.56,0.019,0,0.137,0.863,0.016,0
Umod,190.8,547.6,0.1,0.1,-11.49,-12.1,-2.26,-3.88,0.017,0,0.167,0.833,0.014,0
Usp50,159.8,0.1,0.1,0.1,0.12,-0.48,-1.9,-3.54,0.032,0,0.145,0.855,0.027,0
Rps6ka2,6.9,44.9,0,0,-9.81,-9.81,-2.2,-3.87,0.023,0,0.152,0.848,0.02,0
Echdc1,188.6,0.2,0.3,0.2,0.45,0.19,-1.92,-3.4,0.026,0,0.157,0.843,0.022,0
Tpst1,7.2,0,0.1,0,1.26,0,-1.69,-3.67,0.058,0,0.1,0.9,0.052,0
Ddx59,14.9,0.1,0,0,-1.72,-1.72,-2.09,-3.75,0.022,0,0.144,0.856,0.018,0
42436,48.2,480.2,0,0,-13.23,-13.23,-2.22,-3.87,0.021,0,0.167,0.833,0.017,0
Dars,209.6,0.1,0.5,0.2,2.2,0.77,-1.74,-3.48,0.039,0,0.112,0.888,0.035,0
Tufm,33,0.1,0,0,-1.72,-1.72,-2.09,-3.73,0.024,0,0.153,0.847,0.021,0
Car15,7.1,0.1,0,0,-1.23,-1.23,-2.12,-3.7,0.02,0,0.152,0.848,0.017,0
Tubgcp5,71.6,9.3,0,0,-7.54,-7.54,-2.22,-3.88,0.018,0,0.159,0.841,0.015,0
Efcab14,101.8,0.1,0.1,0.1,0.69,0.09,-1.84,-3.51,0.031,0,0.14,0.86,0.027,0
Rps8,29.4,0.1,0,0,-1.1,-1.1,-2.07,-3.68,0.026,0,0.151,0.849,0.022,0
Tshz1,57.7,5.3,0.1,0,-5.48,-6.75,-2.14,-3.85,0.019,0,0.142,0.858,0.016,0
Pink1,26.6,0.1,0,0,-1.1,-1.1,-2.1,-3.71,0.024,0,0.162,0.838,0.02,0
Crtap,39.8,0.1,0,0,-1.23,-1.23,-2.1,-3.71,0.023,0,0.147,0.853,0.019,0
Tmem106b,372,348.8,0.5,1.2,-9.34,-8.12,-2.21,-3.79,0.022,0,0.171,0.829,0.018,0
Spata5,54.5,0.1,0,0,-1.1,-1.1,-2.1,-3.7,0.023,0,0.153,0.847,0.019,0
AA987161,50,0,0.1,0,1.26,0,-1.75,-3.71,0.051,0,0.111,0.889,0.045,0
Ubqln4,91.9,1.3,0,0.2,-4.77,-2.77,-2.18,-3.5,0.019,0,0.204,0.796,0.015,0
Apool,144.6,0.3,0.1,0,-1.41,-2.67,-1.97,-3.76,0.031,0,0.124,0.876,0.028,0
Dmc1,10.5,0,0.1,0,1.26,0,-1.7,-3.72,0.052,0,0.101,0.899,0.047,0
Grik1,14.6,0.1,0,0,-1.23,-1.23,-2.12,-3.7,0.02,0,0.159,0.841,0.017,0
Trf,135.2,0.1,0,0,-1.8,-1.8,-2.14,-3.73,0.026,0,0.174,0.826,0.021,0
Gypc,52.6,2.8,0,0.1,-5.84,-4.52,-2.15,-3.7,0.024,0,0.168,0.832,0.02,0
Ttc1,283.8,39.5,0.6,0.1,-5.87,-8.31,-2.13,-3.86,0.019,0,0.138,0.862,0.017,0
Aldoa,29.9,0.1,0,0,-1.23,-1.23,-2.05,-3.7,0.028,0,0.147,0.853,0.024,0
Fam175a,27.8,3.1,0,0.2,-5.97,-3.97,-2.23,-3.65,0.021,0,0.189,0.811,0.017,0
Slc25a26,10.1,0.1,0,0,-1.1,-1.1,-2.09,-3.73,0.029,0,0.16,0.84,0.024,0
Zfp37,152.1,0.1,0.2,0.1,0.49,-0.56,-1.89,-3.55,0.028,0,0.133,0.867,0.024,0
Tmem106c,4.6,1.7,0,0,-5.14,-5.14,-2.16,-3.83,0.018,0,0.159,0.841,0.015,0
Iscu,11,0.1,0,0,-1.1,-1.1,-2.08,-3.71,0.022,0,0.153,0.847,0.019,0
Cenpu,49.3,79.7,0.1,0,-9.38,-10.64,-2.25,-3.88,0.021,0,0.167,0.833,0.018,0
Setd2,124.3,0,0.2,0.1,2.38,1.32,-1.8,-3.5,0.04,0,0.112,0.888,0.035,0
Smpx,144,0,0.3,0.2,2.72,2,-1.88,-3.44,0.029,0,0.14,0.86,0.025,0
Hspa1a,11.4,0.9,0,0,-4.18,-4.18,-2.2,-3.76,0.02,0,0.164,0.836,0.016,0
Tomm5,2.2,0.1,0,0,-1.23,-1.23,-2.06,-3.67,0.025,0,0.145,0.855,0.022,0
Ebf1,19.4,27,0,0,-9.08,-9.08,-2.26,-3.88,0.018,0,0.157,0.843,0.015,0
Dync1i1,21.6,0.1,0,0,-1.1,-1.1,-2.11,-3.66,0.02,0,0.165,0.835,0.017,0
Acap2,131.5,4,0,0.2,-6.35,-4.34,-2.21,-3.64,0.023,0,0.188,0.812,0.018,0
Psmd1,268.4,0.1,0.2,0.2,0.57,0.2,-1.96,-3.41,0.026,0,0.161,0.839,0.022,0
Rp1,1.1,2.9,0,0,-5.89,-5.89,-2.19,-3.83,0.018,0,0.155,0.845,0.015,0
Pbdc1,62.2,0.1,0,0,-1.23,-1.23,-2.1,-3.73,0.028,0,0.156,0.844,0.023,0
Prdx4,107,0.1,0.2,0.2,1.28,0.9,-1.89,-3.36,0.025,0,0.154,0.846,0.021,0
Adrb1,9.5,0.1,0,0,-1.23,-1.23,-2.08,-3.7,0.026,0,0.158,0.842,0.022,0
Usp1,255.3,119,0,0.2,-11.22,-8.76,-2.23,-3.85,0.021,0,0.164,0.836,0.018,0
4930550C14Rik,165.9,0.5,0.1,0.2,-2.11,-1.37,-2.12,-3.49,0.021,0,0.19,0.81,0.017,0
42431,19.7,15.9,0,0,-8.32,-8.32,-2.17,-3.84,0.022,0,0.157,0.843,0.019,0
Aplp2,252.2,67.1,0.1,0,-8.47,-10.39,-2.24,-3.87,0.015,0,0.152,0.848,0.012,0
Tmem165,77.1,145.6,0,0.3,-11.51,-8.7,-2.21,-3.81,0.02,0,0.161,0.839,0.017,0
Snx30,63,4.3,0.1,0.2,-5.18,-3.98,-2.17,-3.59,0.021,0,0.185,0.815,0.017,0
Fam179b,161.9,1,0.1,0,-3.15,-4.41,-2.1,-3.79,0.021,0,0.143,0.857,0.018,0
Polr2h,5.5,64.5,0,0,-10.33,-10.33,-2.21,-3.89,0.022,0,0.156,0.844,0.018,0
Tex38,36.4,628.7,0,0,-13.62,-13.62,-2.23,-3.86,0.02,0,0.157,0.843,0.017,0
Lgals12,7.6,1.4,0,0,-4.89,-4.89,-2.2,-3.81,0.022,0,0.149,0.851,0.019,0
Abcb10,45.1,1.2,0,0,-4.59,-4.59,-2.18,-3.82,0.021,0,0.154,0.846,0.017,0
Tbc1d19,126.2,0.1,0.1,0.2,0.69,0.77,-1.94,-3.32,0.027,0,0.157,0.843,0.022,0
Mpp6,170,0,0.3,0.1,3,1.32,-1.69,-3.57,0.048,0,0.101,0.899,0.043,0
Fzd3,63.8,0.1,0.1,0,0.16,-1.1,-1.87,-3.74,0.034,0,0.113,0.887,0.031,0
Coch,27.5,0.1,0,0,-1.1,-1.1,-2.11,-3.72,0.021,0,0.152,0.848,0.018,0
Gapvd1,93.4,63.4,0.1,0.1,-8.39,-8.99,-2.21,-3.87,0.02,0,0.162,0.838,0.016,0
Dmrtc1b,27.5,0,0.1,0.1,1.92,1.32,-1.78,-3.43,0.039,0,0.132,0.868,0.034,0
Rdh16,56.4,0,0.1,0,1.26,0,-1.76,-3.72,0.047,0,0.112,0.888,0.042,0
Il1r2,17.2,0.5,0,0,-3.56,-3.56,-2.14,-3.82,0.024,0,0.153,0.847,0.02,0
Snai2,21.5,971.2,7.9,0.2,-6.93,-12.24,-2.17,-3.88,0.021,0,0.154,0.846,0.017,0
Abca14,79,23.3,0,0,-8.87,-8.87,-2.2,-3.84,0.021,0,0.16,0.84,0.017,0
Glod5,22.4,0.1,0,0,-1.1,-1.1,-2.1,-3.72,0.024,0,0.159,0.841,0.02,0
Ttc9c,65.6,5.4,0.1,0,-5.5,-6.76,-2.17,-3.84,0.022,0,0.147,0.853,0.019,0
Actr8,111.5,0.1,0.3,0.2,0.92,0.2,-1.84,-3.42,0.025,0,0.136,0.864,0.022,0
Vmac,59.5,0.1,0,0,-1.23,-1.23,-2.11,-3.7,0.022,0,0.152,0.848,0.019,0
Ppcs,18.9,22.1,0.1,0,-6.86,-8.79,-2.18,-3.88,0.02,0,0.145,0.855,0.017,0
Pramel3,41.3,4.6,0,0,-6.53,-6.53,-2.19,-3.82,0.019,0,0.155,0.845,0.016,0
Syt14,15.3,0.1,0,0,-1.1,-1.1,-2.09,-3.71,0.03,0,0.16,0.84,0.025,0
Wdr12,391,1.2,0.6,0.5,-0.83,-1.26,-1.97,-3.47,0.024,0,0.146,0.854,0.021,0
Frrs1,122.7,3.1,0.1,0.5,-4.71,-2.65,-2.16,-3.45,0.019,0,0.195,0.805,0.015,0
