prey,Base_diUb4,Vec_diUb4,di4spUb,Enr_diUb4,sEnr_diUb4,p_Bind_diUb4
Cdc16,105.5,0.1,0.1,-0.76,-4.53,0.027
Cebpg,143.5,0.1,0.1,-0.76,-4.59,0.027
Pbk,208.8,0.1,0.1,-0.19,-4.61,0.027
Sly,203.3,0.1,0.1,-0.76,-4.75,0.027
Gm10058,1672.7,0.8,0.3,-1.21,-4.34,0.027
Elp3,135.5,0.1,0.1,-0.68,-4.71,0.027
Cetn1,79.6,0.1,0.1,-0.68,-4.51,0.027
Uba2,248.6,0.1,0.1,-0.76,-4.76,0.027
Fgfbp1,88.3,0.1,0.1,-0.76,-4.56,0.027
Amotl2,119.2,0.1,0.1,-0.76,-4.6,0.027
Arnt2,135.9,0.1,0.1,-0.19,-4.59,0.027
Cacna2d3,30.8,0.2,0.1,-1.49,-4.58,0.027
Gbp4,238.6,0.1,0.1,-0.68,-4.72,0.026
Tgtp2,289.8,0.1,0.1,-0.19,-4.69,0.026
Akap13,69.4,0.1,0.1,-0.76,-4.58,0.026
Huwe1,133.1,0.1,0.1,-0.68,-4.64,0.026
Slxl1,112.4,0.2,0.1,-1.17,-4.69,0.026
Rtn4ip1,71.6,0.1,0.1,-0.76,-4.52,0.026
Harbi1,24.8,9.6,1.4,-2.76,-4.05,0.026
Pxdn,231.4,0.1,0.1,-0.19,-4.7,0.026
Specc1,53.2,0.2,0.1,-1.17,-4.62,0.026
1700080O16Rik,190.4,0.1,0.1,-0.76,-4.69,0.026
Mfsd4,86.1,0.2,0.1,-1.17,-4.68,0.026
Slc47a1,194.1,0.1,0.1,-0.19,-4.59,0.026
Usp47,316.7,0.6,0.2,-1.65,-4.47,0.026
Gm5169,181.2,0.1,0.1,-0.84,-4.68,0.026
Psmd14,295.3,0.6,0.2,-1.56,-4.31,0.026
Mrps18c,52.3,0.2,0.1,-1.17,-4.71,0.026
Agps,238.9,0.6,0.2,-1.62,-4.43,0.026
Tmem176b,129.2,0.1,0.1,-0.76,-4.64,0.026
Igsf5,196.1,0.1,0.1,-0.68,-4.73,0.026
Jmjd1c,139.7,0.1,0.1,-0.76,-4.68,0.025
Hsfy2,400.7,0.5,0.2,-1.45,-4.41,0.025
Tpm1,199,1.2,0.2,-2.2,-4.35,0.025
Ercc6l2,55.4,0.1,0.1,-0.84,-4.48,0.025
Cct3,245.1,0.1,0.1,-0.68,-4.78,0.025
Sdha,558.3,1.2,0.3,-1.73,-4.37,0.025
Tada1,221,0.1,0.1,-0.76,-4.8,0.025
Sgms2,144.6,0.1,0.1,-0.68,-4.71,0.025
Fas,77.8,0.1,0.1,-0.68,-4.63,0.025
Ptpn11,157.9,0.1,0.1,-0.76,-4.74,0.025
Nsun4,173.5,0.1,0.1,-0.68,-4.64,0.025
Acsl5,168.9,0.1,0.1,-0.76,-4.69,0.025
Grsf1,255.2,0.1,0.1,-0.76,-4.77,0.025
Gm136,178.7,0.1,0.1,-0.76,-4.68,0.025
Rbl2,316,0.5,0.2,-1.31,-4.31,0.025
Nrn1,52.4,0.2,0.1,-1.11,-4.72,0.025
Golga4,158.8,0.1,0.1,-0.68,-4.68,0.025
Igsf10,85.8,0.2,0.1,-1.11,-4.75,0.025
Mrps14,218.8,0.1,0.1,-0.68,-4.76,0.025
Adcy2,60.1,0.2,0.1,-1.11,-4.6,0.025
Abcc5,68.4,0.1,0.1,-0.84,-4.57,0.025
Ehf,109.6,0.1,0.1,-0.76,-4.7,0.025
Pnrc1,150.9,0.1,0.1,-0.76,-4.67,0.025
Prkag2,148.1,0.1,0.1,-0.76,-4.73,0.025
Zkscan3,102.6,0.1,0.1,-0.76,-4.6,0.025
Arsb,225.1,0.1,0.1,-0.68,-4.76,0.025
Pom121l2,114.1,0.1,0.1,-0.76,-4.63,0.025
Ms4a5,105.1,0.1,0.1,-0.84,-4.62,0.024
Usp2,60.9,0.2,0.1,-1.17,-4.62,0.024
1700012P22Rik,151.6,0.1,0.1,-0.68,-4.67,0.024
Ago4,58.7,0.2,0.1,-1.17,-4.63,0.024
1700015G11Rik,34.8,0.2,0.1,-1.11,-4.6,0.024
Mrpl47,121.7,0.1,0.1,-0.68,-4.61,0.024
Usp50,157.9,0.1,0.1,-0.76,-4.72,0.024
Gnl3,142.7,0.1,0.1,-0.76,-4.71,0.024
Tmem27,815.5,0.7,0.3,-1.32,-4.37,0.024
Nadk,222.4,0.1,0.1,-0.76,-4.71,0.024
Frmd4b,147.3,0.1,0.1,-0.84,-4.81,0.024
Tank,84.8,0.1,0.1,-0.76,-4.7,0.024
Dnaja4,89.6,0.2,0.1,-1.17,-4.66,0.024
Cask,72.3,0.2,0.1,-1.17,-4.71,0.024
Slc10a2,33.3,0.1,0.1,-0.76,-4.48,0.024
Psmd12,118.4,0.1,0.1,-0.76,-4.67,0.024
Zfp37,157.2,0.1,0.1,-0.84,-4.78,0.024
Rpl7,164.3,0.1,0.1,-0.84,-4.72,0.024
Serpinb11,68.2,0.2,0.1,-1.44,-4.64,0.023
Nup88,147.8,0.1,0.1,-0.76,-4.72,0.023
Top1,227.5,0.1,0.1,-0.84,-4.8,0.023
Golm1,222.6,0.1,0.1,-0.76,-4.7,0.023
Btg1,210.9,0.1,0.1,-0.76,-4.74,0.023
B2m,179.7,0.1,0.1,-0.76,-4.72,0.023
Sec61g,54.8,0.2,0.1,-1.11,-4.6,0.023
42619,89,0.2,0.1,-1.17,-4.66,0.023
Nif3l1,89.8,0.1,0.1,-0.76,-4.63,0.023
Mns1,110.4,0.2,0.1,-1.11,-4.71,0.023
Atp5g3,66.5,0.2,0.1,-1.23,-4.67,0.023
Gprasp2,153.9,0.2,0.1,-1.29,-4.79,0.023
Akap8,75.8,0.2,0.1,-1.49,-4.78,0.023
Fuca1,98.8,0.2,0.1,-1.44,-4.89,0.023
Dpep1,34.9,0.2,0.1,-1.54,-4.65,0.023
Cfap69,249.4,0.2,0.1,-1.17,-4.8,0.023
4930503B20Rik,356.1,0.1,0.1,-0.76,-4.82,0.023
BC022687,27.1,0.3,0.1,-1.91,-4.79,0.023
Dusp22,66.5,0.2,0.1,-1.11,-4.72,0.023
Syap1,187.9,0.1,0.1,-0.76,-4.76,0.023
Plch1,27.8,0.2,0.1,-1.44,-4.7,0.023
Kif5a,137.2,0.1,0.1,-0.76,-4.71,0.023
Mapk9,86.7,0.1,0.1,-0.76,-4.57,0.022
Tusc3,129.5,0.1,0.1,-0.68,-4.67,0.022
Suv420h1,98.8,0.2,0.1,-1.17,-4.75,0.022
8430419L09Rik,35,0.2,0.1,-1.49,-4.68,0.022
Cep57,252.6,0.2,0.1,-1.17,-4.92,0.022
Psat1,155.2,0.2,0.1,-1.17,-4.8,0.022
Spg11,27.8,0.3,0.1,-1.87,-4.72,0.022
Gstm2,262.3,0.1,0.1,-0.76,-4.84,0.022
Fto,116.8,0.2,0.1,-1.49,-4.85,0.022
Nup205,126.6,0.1,0.1,-0.76,-4.65,0.022
Vps54,116,0.2,0.1,-1.11,-4.68,0.022
Gm17019,64.2,0.3,0.1,-1.91,-4.82,0.022
Gm20917,121.6,0.2,0.1,-1.29,-4.81,0.022
Rhou,115.8,0.3,0.1,-1.75,-4.93,0.022
Ythdf1,170.3,0.1,0.1,-0.84,-4.77,0.022
Kansl2,101,47.9,5.8,-3.04,-4.23,0.022
Adam6b,34.9,0.2,0.1,-1.17,-4.72,0.022
Cep135,43.7,0.2,0.1,-1.11,-4.67,0.022
Calr,107.6,0.2,0.1,-1.49,-4.86,0.021
Chchd3,328.2,0.1,0.1,-0.76,-4.84,0.021
Mapre2,161.6,0.1,0.1,-0.76,-4.81,0.021
Nol4l,124.5,0.2,0.1,-1.44,-4.86,0.021
Sec61a2,113.4,0.2,0.1,-1.17,-4.82,0.021
Taf1b,121.4,0.3,0.1,-1.59,-4.92,0.021
Wdr77,157.3,0.1,0.1,-0.76,-4.78,0.021
Foxo1,145.3,0.2,0.1,-1.11,-4.77,0.021
Emc2,833.8,1,0.2,-2.01,-4.6,0.021
Mef2a,143.2,0.1,0.1,-0.68,-4.77,0.021
Acad8,116,0.2,0.1,-1.11,-4.74,0.021
Dmtf1,138.7,0.2,0.1,-1.11,-4.79,0.021
Slc39a10,182.7,1,0.2,-2.29,-4.53,0.021
Lrrc51,167.2,0.2,0.1,-1.11,-4.91,0.021
Ndufs1,256.8,0.1,0.1,-0.76,-4.91,0.021
Cd81,102,0.2,0.1,-1.11,-4.76,0.021
Tspan6,139.6,0.3,0.1,-1.59,-4.9,0.021
Gpbp1,298.9,0.2,0.1,-1.17,-4.93,0.02
Vps53,25.5,0.4,0.1,-2.16,-4.79,0.02
Lias,168.5,0.2,0.1,-1.17,-4.89,0.02
Actr1a,93.9,0.3,0.1,-1.71,-4.85,0.02
Fam126a,133.8,0.2,0.1,-1.17,-4.84,0.02
Cacybp,171.4,3453.5,437.8,-2.98,-4.02,0.02
Antxr1,220.6,0.2,0.1,-1.29,-4.93,0.02
Becn1,156.3,0.2,0.1,-1.17,-4.83,0.02
Hecw2,75.6,0.2,0.1,-1.23,-4.7,0.02
Cxcl12,176.7,0.2,0.1,-1.17,-4.84,0.02
Map7,110.3,0.2,0.1,-1.11,-4.78,0.02
Serpinb6a,301.8,0.1,0.1,-0.76,-4.82,0.02
Dnajc2,151.7,0.2,0.1,-1.11,-4.82,0.02
Psma8,286.2,0.1,0.1,-0.84,-4.83,0.02
Morf4l1,387.8,0.7,0.2,-1.81,-4.59,0.02
Prdx3,180.5,0.2,0.1,-1.17,-4.98,0.02
Slmap,520.6,2,0.3,-2.48,-4.57,0.02
1700011H14Rik,496.2,1.2,0.2,-2.21,-4.63,0.02
Cdc7,55.6,0.2,0.1,-1.11,-4.74,0.02
S1pr3,77.1,0.2,0.1,-1.44,-4.87,0.02
Mup3,221.7,0.3,0.1,-1.59,-4.97,0.02
Wdr12,369.4,1.2,0.2,-2.2,-4.51,0.02
Xbp1,383.2,0.1,0.1,-0.76,-4.91,0.02
Iqgap1,273.3,1.2,0.2,-2.31,-4.58,0.02
Cd99l2,109.4,0.2,0.1,-1.54,-4.91,0.02
Cldn10,184.8,0.1,0.1,-0.76,-4.81,0.02
Slc4a9,1.5,0.4,0.1,-2.14,-4.72,0.02
1700113H08Rik,231.6,0.1,0.1,-0.76,-4.88,0.02
Utp11l,55.6,0.2,0.1,-1.44,-4.89,0.019
Vgll3,33.8,0.3,0.1,-1.59,-4.69,0.019
Hspd1,151.5,0.2,0.1,-1.29,-4.93,0.019
Reps1,79.1,1.2,0.2,-2.56,-4.44,0.019
Pdcl,167,0.1,0.1,-0.76,-4.78,0.019
Slc3a1,188.9,0.2,0.1,-1.23,-4.94,0.019
Kcne3,167.6,0.2,0.1,-1.17,-4.89,0.019
Qrich1,244.8,0.2,0.1,-1.11,-4.87,0.019
Apoh,179.2,0.2,0.1,-1.17,-4.9,0.019
Zfp160,75.9,0.3,0.1,-1.63,-4.83,0.019
Endod1,77.7,0.2,0.1,-1.49,-4.82,0.019
Cdc123,353.9,0.1,0.1,-0.68,-4.82,0.019
Ube2w,175,0.1,0.1,-0.76,-4.8,0.019
Psmc1,287.2,0.1,0.1,-0.84,-4.9,0.019
Ms4a4b,79.3,0.2,0.1,-1.17,-4.7,0.019
Mrfap1,342.5,0.1,0.1,-0.76,-4.95,0.019
Cast,251.5,0.2,0.1,-1.49,-5.03,0.019
Sarnp,402.5,0.2,0.1,-1.23,-5.02,0.019
Srsf3,534.5,1.8,0.3,-2.3,-4.51,0.019
Mdn1,94.2,0.2,0.1,-1.44,-4.88,0.019
Mup9,306.2,0.2,0.1,-1.11,-4.9,0.019
Fam209,31.8,0.3,0.1,-1.71,-4.75,0.019
Zfp595,21.7,0.3,0.1,-1.71,-4.76,0.019
Syce1,98,0.2,0.1,-1.17,-4.79,0.019
Tex101,222.2,0.3,0.1,-1.75,-5.04,0.019
Gucd1,152.6,0.2,0.1,-1.17,-4.86,0.019
Abhd17c,176.4,238.4,20.2,-3.55,-4.43,0.019
Psmd1,287.5,0.1,0.1,-0.76,-4.91,0.019
Usp34,277.7,23.4,2.1,-3.44,-4.4,0.019
Gm10486,475.7,0.2,0.1,-1.44,-5.02,0.019
Ogfrl1,140.4,0.2,0.1,-1.44,-4.88,0.019
Arhgef6,165.4,0.2,0.1,-1.11,-4.77,0.019
Eqtn,295.9,0.2,0.1,-1.17,-4.95,0.019
Cnot1,264.9,0.1,0.1,-0.84,-4.81,0.019
Tbc1d1,165.5,0.2,0.1,-1.11,-4.85,0.019
Copz1,166.4,0.2,0.1,-1.11,-4.82,0.018
Cyp2j5,443.9,0.1,0.1,-0.76,-4.89,0.018
Atp2b2,82.9,0.3,0.1,-1.93,-4.85,0.018
Gm20738,327.8,0.8,0.2,-2.02,-4.65,0.018
Rras2,157.3,0.2,0.1,-1.17,-4.8,0.018
Prss37,466,0.1,0.1,-0.76,-4.96,0.018
Hmgcs1,161.2,139,12.2,-3.51,-4.37,0.018
Gria3,160.9,0.2,0.1,-1.49,-4.95,0.018
Ppp3ca,590.4,1.9,0.4,-2.08,-4.44,0.018
Fdps,321.4,0.1,0.1,-0.76,-4.84,0.018
Itih5,181.5,18.4,1.6,-3.5,-4.46,0.018
Emc3,217.5,0.3,0.1,-1.87,-5.01,0.018
Ubr1,168.1,0.2,0.1,-1.49,-4.88,0.018
Tmem9b,170.9,0.2,0.1,-1.49,-4.89,0.018
Usp7,116.2,6.6,0.6,-3.28,-4.51,0.018
Tmem45b,141.9,0.2,0.1,-1.29,-4.92,0.018
Psma2,274.5,0.2,0.1,-1.17,-4.93,0.018
Acsl1,150.3,0.2,0.1,-1.49,-5.01,0.018
Ugt1a6b,123.3,0.2,0.1,-1.17,-4.79,0.018
Vps13a,140.8,0.9,0.2,-2.12,-4.59,0.018
Psmd10,284.3,0.2,0.1,-1.49,-5.04,0.018
Impdh2,140.8,0.3,0.1,-1.59,-4.97,0.018
Mbp,137.7,0.2,0.1,-1.23,-4.92,0.018
Antxr2,170.6,0.3,0.1,-1.75,-5,0.018
Kbtbd4,89.4,0.3,0.1,-1.63,-4.86,0.017
Spop,124.9,0.2,0.1,-1.29,-4.85,0.017
Hsp90aa1,325.9,0.2,0.1,-1.49,-5.03,0.017
Eif2s1,263.5,0.2,0.1,-1.11,-4.85,0.017
Anln,91,55.2,3.9,-3.82,-4.4,0.017
Ifi205,65.4,1.7,0.2,-2.75,-4.53,0.017
Ezh1,116.2,0.3,0.1,-1.93,-5.05,0.017
Ube2u,247.3,0.2,0.1,-1.17,-4.99,0.017
Pnrc2,304.3,1.7,0.2,-2.74,-4.64,0.017
Agrn,88.8,0.5,0.1,-2.48,-5.1,0.017
Sacm1l,275,0.3,0.1,-1.63,-5.01,0.017
Gsta3,450.4,0.2,0.1,-1.23,-5.13,0.017
Rpl6,223.6,0.2,0.1,-1.44,-4.98,0.017
Hsd11b1,241.2,0.3,0.1,-1.93,-5.01,0.017
Lama4,117,0.2,0.1,-1.49,-4.93,0.017
Exosc8,254.5,0.2,0.1,-1.17,-4.97,0.017
Pla2g7,163.7,0.2,0.1,-1.54,-4.92,0.017
Ccny,209.3,0.3,0.1,-1.59,-5.02,0.017
Ablim1,196.9,0.2,0.1,-1.23,-4.85,0.017
Ppbp,205.6,0.3,0.1,-1.75,-5.01,0.017
Ccdc178,70,0.3,0.1,-1.63,-4.91,0.017
H2afb1,49.6,0.3,0.1,-1.83,-4.85,0.017
Ppp2r2b,126.6,0.3,0.1,-1.59,-4.94,0.017
Gcnt2,179.5,0.2,0.1,-1.29,-4.88,0.017
Crim1,70.6,0.4,0.1,-2.16,-5.04,0.017
Tcte3,56.5,2.3,0.3,-2.93,-4.44,0.017
Tram1,202.1,0.3,0.1,-1.63,-4.99,0.016
Ndufb4,23.6,0.6,0.1,-2.65,-4.99,0.016
Tsr1,172.1,0.4,0.1,-1.97,-4.98,0.016
Aktip,186.9,0.2,0.1,-1.49,-4.94,0.016
4922502D21Rik,391.4,0.2,0.1,-1.49,-5.24,0.016
Synm,185.3,0.2,0.1,-1.49,-4.96,0.016
Defb45,4.1,0.1,0,-1.1,-6.41,0.016
Izumo3,199.4,0.3,0.1,-1.83,-5.07,0.016
Tanc2,107.7,0.4,0.1,-2.07,-5.04,0.016
Alg6,28.3,0.5,0.1,-2.3,-4.87,0.016
Hnrnpd,108.9,4.3,0.5,-3.05,-4.57,0.016
Mup14,157.4,0.4,0.1,-1.97,-5.06,0.016
Slco6c1,119.8,0.2,0.1,-1.17,-4.88,0.016
Itgb6,87.8,0.2,0.1,-1.49,-4.88,0.016
Armc1,197.1,2.4,0.2,-3.23,-4.78,0.016
Herc3,180.2,1.7,0.2,-3.07,-4.84,0.016
Slc12a6,262,0.7,0.1,-2.81,-5.21,0.016
Agbl3,40.4,0.3,0.1,-1.93,-4.91,0.016
Copa,241.1,0.3,0.1,-1.75,-5.15,0.016
Slc17a1,395.9,0.3,0.1,-1.93,-5.2,0.016
Rb1cc1,238.9,0.3,0.1,-1.75,-5.04,0.016
Ttc8,61.6,0.3,0.1,-1.83,-4.9,0.016
4430402I18Rik,247.9,0.2,0.1,-1.44,-5,0.016
Hcls1,2.4,0.1,0,-1.1,-6.44,0.015
Ppp2r5c,246.1,0.2,0.1,-1.29,-4.95,0.015
Mmp2,115.1,0.3,0.1,-1.63,-4.92,0.015
Cipc,132.8,0.3,0.1,-1.91,-5.05,0.015
Hmgb1,227.9,0.2,0.1,-1.29,-5,0.015
Mapt,167.7,0.2,0.1,-1.49,-4.98,0.015
Strbp,294.9,1.8,0.2,-3.13,-4.94,0.015
Ndufs2,215.6,0.3,0.1,-1.93,-5.11,0.015
Tnfsf10,176.5,0.4,0.1,-1.97,-5.13,0.015
Rfc1,140.9,0.3,0.1,-1.93,-5.07,0.015
Ctsh,167.5,0.3,0.1,-1.71,-5.05,0.015
1700019D03Rik,146.3,0.3,0.1,-1.71,-5.08,0.015
Zfp820,57.1,0.4,0.1,-2.16,-5,0.015
Btf3l4,272.7,0.3,0.1,-1.87,-5.12,0.015
Cyp39a1,29.6,11.3,0.6,-4.05,-4.74,0.015
Pmp2,4,0.1,0,-1.1,-6.42,0.015
Fundc2,294.2,0.5,0.1,-2.33,-5.18,0.015
Ppp1r42,729.8,99198.8,6666.9,-3.9,-4.47,0.015
Flot2,7.5,0.1,0,-1.23,-6.6,0.015
Ttc4,124,0.4,0.1,-2.16,-5.15,0.015
Zfp318,143.8,0.4,0.1,-2.07,-5.09,0.015
Lgr4,106.9,0.4,0.1,-1.97,-5.04,0.015
Chn2,510.7,7.6,1,-2.86,-4.36,0.015
Spesp1,81.8,0.5,0.1,-2.3,-5.03,0.015
Ttc19,80.6,0.3,0.1,-1.93,-4.95,0.015
Pdzd11,342.3,0.4,0.1,-2.16,-5.26,0.015
Cd93,187.1,1.7,0.2,-2.73,-4.63,0.015
Parpbp,53.6,2,0.2,-3.27,-4.76,0.015
Hsd3b1,137.6,0.3,0.1,-1.87,-5.1,0.014
Papd5,199.4,0.3,0.1,-1.93,-5.06,0.014
Pea15a,229.6,0.4,0.1,-2.07,-5.05,0.014
Gm8787,1,0.1,0,-1.1,-6.42,0.014
Sema4c,0.8,0.1,0,-1.23,-6.43,0.014
Adipor1,139.5,0.4,0.1,-2.22,-5.1,0.014
Lrp2bp,350.9,0.2,0.1,-1.49,-5.1,0.014
1700040L02Rik,355.4,0.2,0.1,-1.49,-5.06,0.014
Clic1,112.7,0.3,0.1,-1.87,-4.98,0.014
Emcn,263.1,0.2,0.1,-1.44,-4.99,0.014
Pde5a,348.9,1.2,0.2,-2.6,-4.77,0.014
Mnda,53.4,2.4,0.2,-3.2,-4.69,0.014
Tmem126b,240.6,0.4,0.1,-2.01,-5.1,0.014
Rnft1,200.6,0.2,0.1,-1.54,-5.03,0.014
Rpf2,307.4,5.4,0.5,-3.25,-4.7,0.014
Entpd4,137.6,1.7,0.2,-2.76,-4.64,0.014
Fbxo28,129.1,0.3,0.1,-1.93,-5.08,0.014
Qdpr,42.4,0.9,0.1,-3.14,-5.14,0.014
Ccdc163,33.5,0.1,0,-1.1,-6.52,0.014
Hs6st2,55.9,0.4,0.1,-2.16,-5.04,0.014
Fam175b,131.1,0.4,0.1,-2.25,-5.15,0.014
Prepl,169.1,0.3,0.1,-1.87,-5.04,0.014
Rpl12,32.1,2650.1,162,-4.03,-4.63,0.014
Zrsr1,67.3,0.3,0.1,-1.75,-5.04,0.014
Lztfl1,301.9,0.2,0.1,-1.54,-5.13,0.014
Krt8,7.9,0.1,0,-1.23,-6.48,0.014
Pex11b,175.1,0.4,0.1,-2.25,-5.27,0.014
Pus7l,0.7,0.1,0,-1.23,-6.5,0.014
Zdhhc5,19.6,0.1,0,-1.1,-6.59,0.014
Mettl5,54.4,25.1,1.8,-3.77,-4.62,0.014
Mog,63.7,0.4,0.1,-2.22,-5.13,0.014
Themis3,0.4,0.1,0,-1.1,-6.49,0.013
4930550C14Rik,162.2,0.5,0.1,-2.33,-5.14,0.013
Thoc7,493.9,2.1,0.2,-3.07,-4.97,0.013
St13,100.8,0.4,0.1,-2.14,-5.08,0.013
Ppap2a,206.6,1.7,0.2,-3.1,-4.9,0.013
Fem1b,443.5,2.5,0.2,-3.28,-4.97,0.013
Hmmr,10.3,0.1,0,-1.1,-6.47,0.013
Cep55,24.4,0.1,0,-1.23,-6.48,0.013
Sox5,27.9,0.1,0,-1.23,-6.54,0.013
Mrps18b,151.9,0.6,0.1,-2.65,-5.26,0.013
Kif12,2.7,0.1,0,-1.23,-6.46,0.013
Cldn8,85.6,1.3,0.2,-2.71,-4.73,0.013
Tomm20,197.4,0.4,0.1,-2.04,-5.11,0.013
Ttll12,3,0.1,0,-1.72,-6.52,0.013
Asxl1,67.9,40.6,2.2,-4.16,-4.72,0.013
Aig1,8.4,0.1,0,-1.1,-6.55,0.013
Ankfy1,168.8,0.5,0.1,-2.48,-5.25,0.013
Jak1,341,2.5,0.3,-2.82,-4.69,0.013
Trim42,4,0.1,0,-1.1,-6.43,0.013
Papss2,244.2,1.5,0.2,-2.93,-4.89,0.013
Slc25a14,127.6,0.5,0.1,-2.31,-5.24,0.013
Igfbp5,277,0.5,0.1,-2.48,-5.34,0.013
Clca4a,0.3,0.1,0,-1.23,-6.51,0.013
Nabp1,93.6,0.6,0.1,-2.72,-5.2,0.013
Os9,8.6,0.1,0,-1.1,-6.45,0.013
Odf4,315.7,0.2,0.1,-1.54,-5.15,0.013
Pld2,11,0.1,0,-1.23,-6.54,0.013
Cul5,67.9,0.8,0.1,-3.06,-5.23,0.013
Neurl4,6.8,0.9,0.1,-3.27,-5.13,0.013
Pla2g2c,4.5,0.1,0,-1.23,-6.53,0.013
Pex5l,100.8,0.4,0.1,-2.16,-5.09,0.013
Oat,467.1,0.3,0.1,-1.87,-5.3,0.013
Akirin1,196.7,0.4,0.1,-1.97,-5.12,0.013
Mmgt1,83.1,0.1,0,-1.1,-6.46,0.013
H3f3a,200.7,2.6,0.2,-3.36,-4.8,0.013
Ddx3y,46.9,0.1,0,-1.23,-6.53,0.013
Akr1c21,741.5,0.4,0.1,-2.07,-5.4,0.013
Nphp1,170.4,2.1,0.2,-3.4,-4.88,0.013
Cenpa,2.9,0.1,0,-1.23,-6.52,0.013
Steap1,3.6,0.1,0,-1.23,-6.47,0.013
Spast,204.8,0.4,0.1,-2.04,-5.15,0.013
Epgn,6.8,0.1,0,-1.1,-6.48,0.013
Usp6nl,0.6,0.1,0,-1.1,-6.46,0.013
Mnat1,384.1,0.3,0.1,-1.83,-5.16,0.013
Cpne6,1.6,0.1,0,-1.23,-6.42,0.013
Slc25a17,220.5,0.3,0.1,-1.59,-5.11,0.013
Pag1,28.1,0.1,0,-1.23,-6.55,0.013
Fam189b,4.3,0.1,0,-1.23,-6.51,0.013
Slc16a9,20.8,0.1,0,-1.23,-6.61,0.013
Evi2a,146.4,0.6,0.1,-2.6,-5.22,0.013
Mpnd,1.9,0.1,0,-1.23,-6.49,0.013
Shmt2,6.1,0.1,0,-1.1,-6.52,0.013
Pttg1,122.2,0.1,0,-1.23,-6.62,0.013
3830406C13Rik,294.4,0.4,0.1,-2.22,-5.27,0.013
Arih1,359,1,0.2,-2.3,-4.79,0.013
Ipo5,375.1,0.3,0.1,-1.75,-5.24,0.013
Grpel2,98.5,0.1,0,-1.23,-6.53,0.012
Cab39l,334,0.4,0.1,-2.04,-5.2,0.012
Pdzd8,269.3,132.5,11.1,-3.57,-4.48,0.012
Adora2b,12.1,0.8,0.1,-3.06,-5.21,0.012
Nemf,164.8,0.4,0.1,-2.16,-5.16,0.012
A530099J19Rik,4.3,0.1,0,-1.23,-6.47,0.012
Tmem126a,10.6,0.1,0,-1.72,-6.51,0.012
Sh3glb1,324.9,17,1.4,-3.58,-4.69,0.012
Zfp54,29.9,0.1,0,-1.23,-6.62,0.012
Spats2l,18.1,0.1,0,-1.23,-6.5,0.012
Ctnnd2,52.2,0.1,0,-1.1,-6.54,0.012
Prmt6,4.3,0.1,0,-1.1,-6.57,0.012
Mpz,1.4,0.1,0,-1.1,-6.58,0.012
Nr2c2ap,2.5,0.1,0,-1.1,-6.49,0.012
Cbx6,1.2,0.1,0,-1.1,-6.44,0.012
Traf6,44.6,2.2,0.2,-3.45,-4.89,0.012
Rabggtb,334.2,0.2,0.1,-1.49,-5.01,0.012
Ctcfl,1.3,0.1,0,-1.1,-6.42,0.012
Samhd1,48.6,0.1,0,-1.1,-6.5,0.012
Ppp1ca,7.7,0.1,0,-1.1,-6.48,0.012
Rhobtb2,9.9,0.1,0,-1.1,-6.5,0.012
Ccnt1,11.6,0.1,0,-1.72,-6.66,0.012
Tekt3,93.9,0.1,0,-1.23,-6.57,0.012
Ctcf,180,0.6,0.1,-2.64,-5.3,0.012
1110034G24Rik,35.4,0.6,0.1,-2.74,-5.07,0.012
Nme8,191.2,0.3,0.1,-1.87,-5.13,0.012
Zfp217,5.5,0.1,0,-1.23,-6.43,0.012
Rexo2,253.7,0.4,0.1,-2.16,-5.12,0.012
Klhdc7a,1.8,0.1,0,-1.1,-6.42,0.012
Cdc42ep4,8.2,0.1,0,-1.23,-6.43,0.012
Mocs2,526.2,1.4,0.2,-2.77,-5,0.012
Gm773,14.4,0.1,0,-1.23,-6.46,0.012
Sypl,390.3,0.3,0.1,-1.75,-5.18,0.012
E2f8,0.2,0.1,0,-1.1,-6.52,0.012
Agpat5,34.5,0.1,0,-1.23,-6.55,0.012
Ndufaf1,29,0.1,0,-1.23,-6.57,0.012
Cyp2d9,30.6,0.1,0,-1.23,-6.65,0.012
Gstp1,21.4,0.1,0,-1.23,-6.5,0.012
Phactr2,13.7,0.1,0,-1.23,-6.53,0.012
Sh3bp5l,42.3,0.1,0,-1.23,-6.44,0.012
Tomm5,3.3,0.1,0,-1.23,-6.49,0.012
Nbr1,366.1,116.3,5.2,-4.48,-4.86,0.012
Gm6880,0.5,0.1,0,-1.23,-6.51,0.012
Srd5a2,1,0.1,0,-1.23,-6.62,0.012
Syvn1,6,0.1,0,-1.23,-6.52,0.012
Scara5,73.7,0.1,0,-1.23,-6.64,0.012
Endog,1.2,0.1,0,-1.1,-6.53,0.012
Il6st,159.9,0.4,0.1,-1.97,-5.1,0.012
Gng2,52.2,0.8,0.1,-2.96,-5.2,0.012
Mup13,204,0.4,0.1,-1.97,-5.22,0.012
Chchd5,20.4,0.1,0,-1.1,-6.49,0.012
Cep162,45.2,0.1,0,-1.23,-6.58,0.012
Hook2,0.7,0.1,0,-1.23,-6.36,0.012
Lage3,25,0.1,0,-1.23,-6.56,0.012
Ttc30a1,98.9,0.3,0.1,-1.79,-5.01,0.012
2410141K09Rik,2.4,0.1,0,-1.1,-6.53,0.012
Aars,7.4,0.1,0,-1.23,-6.42,0.012
